title,year,genre,plot
Dark Entities,2023,"Horror, Mystery, Thriller","Following a tragic accident in 1977, the three Winters siblings move into the mysterious home they inherited. They soon discover the house holds dark secrets that seek to threaten everything they hold dear."
The Armenian Spread,2023,History,"Exploring the modern Armenian culture through food and oral history. Following the spread of Armenians across the globe starting in the early 20th century along with the spread of food served at parties and reunions bringing the Armenian people back together. The descendants of Armenians living in the Ottoman Empire incorporate their ancestors into their lives in moments shared with family. 8mm, VHS and MiniDV footage take us back on a century long journey everywhere between Brooklyn and Los Angeles."
72,2023,"Horror, Thriller","A highly fatal and contagious virus that hits within 72 hours of exposure, begins to spread fast across the globe. The government has issued a mandatory 3-day stay-at-home quarantine in hopes of slowing the spread. For Rich, Jill, and some of their friends, that's not an option. They set off deep into the human-free woods where they hope to remain safe. Unbeknownst to the gang, one of their own is already infected and it quickly spreads through the group one by one. The group is faced with unexpected challenges as they struggle to fight for survival against the infection - and each other."
Common People,2023,"Comedy, Crime","In the Irish underworld, a couple with a history of petty crime are trying to make an honest go of it until their dicey past resurfaces forcing them into a face-off against a detective with a grudge, a Dublin gangster and a deranged sociopath in a tale of deceit, violence and redemption."
Central Valley,2023,Drama,"Tim is a drug dealer in his mid-30s who wanders aimlessly through the empty streets of central valley, California. Following his brother's sudden death, Tim finds himself responsible for his 10-year-old nephew."
Sharper,2023,"Crime, Drama, Thriller","Motivations are suspect, and expectations are turned chaos, as a con artist takes on Manhattan billionaires."
The Nothingness Club - Não Sou Nada,2023,Drama,"Pessoa famously published under many heteronyms: around 75 different names, each with fully fleshed out backgrounds, styles, appearances and philosophies. Taking this a step further, Não Sou Nada gives flesh to these characters, all working together under Pessoa, enacted by Miguel Borges, at the publishing house The Nothingness Club. Though mostly similar in appearance, the heteronyms differ hugely in personality above all, the gleefully unhinged Álvaro de Campos, enacted by Albano Jerónimo. These clashes start to become indistinguishable from dramatic rifts in Pessoa's psyche: as he is increasingly beset by philosophical turmoil, his heteronyms are murdered, one by one. Meanwhile, Victoria Guerra plays a double role as Pessoa's Madonna-mistress Ophélia: at once a saintly psychiatric nurse and duplicitous femme fatale."
Les Trois Mousquetaires - Milady,2023,"Action, Adventure, History","D'Artagnan is forced to join forces with Milady to save Constance, who was kidnapped before his eyes. But as war is declared and Athos, Porthos and Aramis have already joined the front, a secret from the past shatters old alliances."
The Three Musketeers - Part I: D'Artagnan,2023,"Action, Adventure, History","D'Artagnan arrives in Paris trying to find his attackers after being left for dead, which leads him to a real war where the future of France is at stake. He aligns himself with Athos, Porthos and Aramis, three musketeers of the King."
Total Paranoia,2023,Thriller,A young revolutionary with grand ideas gets hunted by the right-wing state.
Mass State Lottery,2023,"Comedy, Crime, Horror",A private investigator manipulates a grieving mother.
Luda godina - Povratak Zikine dinastije,2023,Comedy,"Zika's grandson Misha is the father of two boys who were named after their grandfathers Zika and Milan, one is on the verge of puberty and the other is already in puberty. Misha lives and supports his family by playing the violin at weddings."
The Internationalist,2023,Drama,"A disillusioned Australian photographer who once dreamed of glory as a documentarian of the human condition discovers his real grandfather was a heroic war correspondent who disappeared during the Spanish Civil War and, alongside a rebel journalist, goes on a quest to find him (and himself) before his nurse turned resistance fighter grandmother passes away to ultimately redeem himself."
Your Place or Mine,2023,"Comedy, Romance",Two long-distance best friends change each other's lives when she decides to pursue a lifelong dream and he volunteers to keep an eye on her teenage son.
Fear,2023,Horror,A much needed getaway and a celebration weekend turns into a nightmare due to the contagious airborne threat.
The Next Solution,2023,Sci-Fi,
Singapur,2023,Sci-Fi,
The Caller,2023,"Action, Thriller",
Adipurush,2023,"Action, Adventure, Drama, Fantasy",A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.
El exorcista: Creyente,2023,Horror,"When two girls disappear into the woods and return three days later with no memory of what happened to them, the father of one girl seeks out Chris MacNeil, who's been forever altered by what happened to her daughter fifty years ago."
Necropolis,2023,"Horror, Thriller","A former Soldier and an orphaned child must fight their way through a global pandemic in order to get to the safe zone known as ""Site R"". Along the way, the unlikely pair encounters Marauders and government operatives who also want to see them extinct, because of the secret one of them carries. It's a race against time and test of human morality as our heros try to survive the new world known as ""Necropolis."""
Rhythm in Blues,2023,"Drama, Musical","Aging out of a broken system, three foster siblings' paths from East New York - school, service, streets - are detoured when mothers reappear, forcing them to lean on African rhythms and heal their own wounds without benefits."
Operation Fortune,2023,"Action, Comedy, Thriller",Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.
The House That Eats Flesh,2023,"Horror, Mystery, Thriller","When detective Matt Miller meets Detective John Johnson, he learns of Johnson's obsession with specific peculiar missing people reports. Trying to comprehend the reasoning behind his obsession, Miller sifts through all the horrifying evidence presented to him by the deranged detective. It isn't long before he grasps the reality of how sinister the cases are and the possible reasoning for Johnson's madness. On the crash course of getting himself up to speed, Miller discovers Johnson's unique attachment and the one key that ties them all together in the case known as The House That Eats Flesh."
Wings,2023,Thriller,"Detective inspector Rita Murphy leads a charmed life. Professionally she has risen through the ranks fast. When the son of a highly successful French CEO is abducted, Rita is convinced a new serial killer is about to earn his wings."
Maura the Vampire Princess,2023,"Horror, Romance","Two vampire hunters, who themselves were turned into Vampires hundreds of years ago by the evil Maura The Vampire Princess seek to protect their new home as Maura awakens from her prison grave. Maura had to be placed there until a time she could be controlled and defeated. Only a drop of a virgin blood could renew her at anytime. Two factions of Vampires have fought for control of the Earth for around two thousand years. Maura was born of Queen Ambrosia and her lover Judas who became the leader of all Vampires who were evil. A second faction of Vampires arose who had been turned by the evil ones, but their deep faith maintains them until such a time that the evil can be completely defeated. The key lies in defeating the incredible power that came from the unholy alliance of Ambrosia and Judas. The Christian Church itself is using the good Vampires for a plan to defeat all evil on Earth that isn't human and allow the revelations of things to come to transpire as they were written. As long as the Vampires stand in their way, it can't be fulfill completely. As well the two Vampire Hunters who were turned were Married, but there love has had issues ever since their turning. Yet, they must be the ones who complete the defeat of Maura to reign in the peace."
The United States of Horror: Chapter 3,2023,Horror,
Shehzada,2023,"Action, Comedy, Drama","Bantu is hated by his father Valmiki since he was a toddler. Samara, his boss, shows him affection and love until he discovers that the Jindals are his parents. Bantu decides to seek Jindals love and protect them from threats they facing."
La Luz Que Proyecta La Luna,2023,Thriller,
Mission Majnu,2023,"Action, Drama, History, Thriller","In the 1970s, an undercover Indian spy takes on a deadly mission to expose a covert nuclear weapons program in the heart of Pakistan."
Bholaa Shankar,2023,"Action, Crime, Drama, Thriller",A doting brother tries to hunt down notorious criminals who had harmed his sister.
Demir Kadin Neslican,2023,"Biography, Drama","The amazing life story of ""Iron Woman"" Neslican Tay."
Coming Soon,2023,Documentary,
Ground Zero,2023,Action,Plot kept under wraps.
Meeting Kate,2023,Drama,"This prequel to Reading Kate (2015) tells the story of Michael and Kate, their chance romance, and their challenges of building a life together despite their overwhelming differences."
Reptile,2023,"Crime, Drama, Mystery, Thriller","Tom Nichols is a hardened New England detective, unflinching in his pursuit of a case where nothing is as it seems and it begins to dismantle the illusions in his own life."
"AHRIMAN, PART 1: Death Before Dying",2023,"Sci-Fi, Thriller",The possession of a soul by an evil entity causes an imbalance in the timeline that only a celestial being can rectify.
Two Heads,2023,Thriller,
Los buenos modales,2023,"Comedy, Drama","Manuela and Rosario, estranged sisters due to a family secret, reunite when the caretakers of their grandchildren's, allowed the kids to meet. Upon learning of the conflict, they try to reconcile the families in a quirky, loving manner."
China Mobile,2023,Crime,
Broken Pearls,2023,Drama,A Mexican Journalist (Veronica Sanchez) quits her job and embarks on a journey to find the lost voices left from the Russian Invasion.
Oneida Flats,2023,Drama,"In 1921, in a small town in upper state New York, one family's story of murder, kidnapping and survival is stranger than fiction, because it's true. ""Family is love, murder is business."""
High Weirdness,2023,Comedy,
Linen,2023,"Adventure, Fantasy",
Adversary: Wanted Dead or Alive,2023,"Fantasy, Horror, Mystery, Sci-Fi, Western",The Adversary has acquired several enemies throughout his lifetime. Enemies that want nothing more than to see him dead and gone from this world. His time on this earth is about to come to an end.
Sombras Brancas,2023,"Biography, Drama, Fantasy","At the age of 71, a highly regarded writer, José Cardoso Pires, suffers a major stroke and loses his memory and the ability to relate to the rest of the world. Everybody seems to defy the famous author to write another novel that recounts this adventure telling his ""last story"", the most conclusive of his career, the one of his accidental journey to the clear shadows territory."
"Amityville, Germany",2023,Horror,It follows you . . everywhere
Little Dixie,2023,"Action, Crime, Thriller","Doc facilitates a fragile truce between the Governor and Cartel, trading prosecutorial leniency for finance. With no more truce, Doc is left to fend for himself and protect the one untainted thing in his life: his daughter, Little Dixie."
Choppa City Queens,2023,"Action, Crime","Best friends Leah, Jada and Shanice lose their jobs due to the economy failing in the town they live in. They each try looking for new jobs in town but can't find anyone hiring. With bills piling up and no jobs available, they struggle to make ends meet. Then one day, by chance, Leah comes across a gunrunner hiding a bag of AK-47's. Leah strikes up a deal with the gunrunner to buy his guns and sell them on the black market. Things start going well with the women selling guns until Shanice's boyfriend, Marquis, finds out that she is selling guns. Marquis and his cousin Berg then decide they are going to steal the guns from the woman and set up their own operation."
Arbitrium: The Final Days,2023,"Action, Crime, Drama",
Tarifte Ask Var,2023,"Drama, Romance",
Animal,2023,"Action, Crime, Drama, Thriller","A son's love for his father. Often away due to work the father is unable to comprehend the intensity of his son's love. Ironically, this fervent love and admiration for his father and family creates conflict between the father and son."
Shaakuntalam,2023,"Drama, Fantasy, Romance","The love story of King Dushyantha and Shakuntala, daughter of sage Vishwamitra and nymph Menaka. Due to a sage's curse, Dushyant forgets all about Shakuntala, until destiny brings them together again."
Untitled Universal Event Film,2023,,
Untitled Universal Event Film,2023,,
Fast & Furious X,2023,"Action, Adventure, Crime, Mystery, Thriller",Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
The Assassin Unleashed,2023,"Action, Adventure, Drama, Thriller",
Zero Options,2023,Thriller,
Johnny and the Golden Gifts,2023,Drama,
Spider-Man: Lotus,2023,"Action, Drama","Peter Parker, who is struggling to recover from the loss of Gwen Stacy and contemplating hanging up the suit for good, until he receives a letter from a terminally ill child, requesting that Spider-Man pay a visit before he passes away."
Official Spacegirl: The Movie,2023,Sci-Fi,
On A Wing and A Prayer,2023,Drama,"After their pilot dies unexpectedly mid-flight, Doug White (Dennis Quaid) has to safely land the plane and save his entire family from insurmountable danger."
Pros and Cons of Being Single,2023,"Comedy, Sci-Fi","When natural disasters strike and people start showing up at his house, a single man tries to take advantage of the situation."
S.P.E.E.D.,2023,Biography,
Morbid: a Necromurder Story,2023,Horror,"A talented rock star from New York City faces the demise of his music career at the hands of his evil music producer band mate in this irreverent, darkly comedic meditation on the music industry, madness, metal, and revenge."
Penthouse,2023,"Crime, Mystery, Thriller",A debauchery-filled gathering for five friends turns into a test of friendship and a web of suspicion when a dead body is found in their rented home.
Rustin,2023,"Biography, Drama, History",Activist Bayard Rustin faces racism and homophobia as he helps change the course of Civil Rights history by orchestrating the 1963 March on Washington.
La novia de América,2023,Comedy,"Follows Ana and Tono, two Spanish siblings who receive the surprising news that their father is marrying a woman he met online, so they travel to Mexico to attend the wedding, but what they find is not what they expected."
Bullets,2023,"Crime, Drama, Thriller",It tells the story of a boy from a socially deprived suburb who is forced to help his friend out of trouble with the local 'gang'. This risks changing the course of his life and sending him to a path that he did not choose himself.
Bratri,2023,"Action, Drama, History, War",Adaptation of controversial real-life story from the 1950s.
Big Syrup and The Maple Men,2023,Comedy,
The Gravitation of Love,2023,Romance,"A family father meets a woman, who spark a heavenly love in his heart. An love like from a paradise, that makes gigantic love energies possible in the body. A film about the encounter of an Ultra Divine Twin Flame, after a true event."
Neniu,2023,"Drama, Thriller","Neniu, a lone wolf working for an obscure international agency, finds himself confronted with his all demons of the past."
Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.
Peripheric Love,2023,Drama,"When Maria, a Mexican émigré, becomes pregnant, she keeps quiet, fearing that her husband Giorgio, who thinks he's sterile, will suspect her of infidelity. This silence divides the couple."
The Judas Kiss,2023,Drama,"A writer, an actor and the actor's wife are immersed in a love triangle, set against the backdrop of McCarthy era ""blacklisting""; the actor's testimony sends the writer to prison, during which time he writes a play about betrayal, producing it upon his release with the actor starring in the lead role."
Décolleté,2023,"Horror, Sci-Fi, Thriller",Scientist Craven discovered an alien invention by alluring four adults to his science lab experiment for a cash prize only to discover his invention was for an everlasting transformation.
My Precious,2023,"Comedy, Drama, Romance","Tong and his group of friends are in love with the same girl, Lin. Tong is forced to be supervised by another student due to his bad behavior. And his school life changes learning, playing and finding the first love."
Trolls Band Together,2023,"Animation, Adventure, Comedy, Family, Fantasy, Music","Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd."
Tomorrow Before After,2023,"Drama, Sci-Fi","In a post-apocalyptic world, a young woman, with the help of an abandoned dog searches for other survivors while trying to cope with an unborn child growing inside of her."
Shin Kamen Rider,2023,"Action, Adventure, Drama, Fantasy, Sci-Fi","Hongo Takeshi awakens to discover he has been transformed into a grasshopper-hybrid cyborg. Becoming the Masked Rider, he must fight the mysterious evil organization SHOCKER to protect all of mankind."
Aagun Pakhi: The Midnight Club Chronicles,2023,"Action, Mystery",A conspiracy theorist discovers a dangerous plan of a long lost secret society
Gunfight at Rio Bravo,2023,"Action, Drama, Western",A mysterious Russian gunslinger aids a marshal and a sheriff in a standoff with a bloodthirsty outlaw gang known as The Hellhounds who have invaded their small East Texas town.
A Pedra dos Ometanimpes,2023,,
Los Skywatchers,2023,Sci-Fi,
1919,2023,"Drama, History, War",Adaptation of Frantisek Langer's play about conflict between Czech legions and Russian Bolsheviks.
Rafadan Tayfa Galaktik Tayfa,2023,"Animation, Comedy",
Paint,2023,"Comedy, Drama","Carl Nargle, Vermont's #1 public television painter, is convinced he has it all: a signature perm, custom van, and fans hanging on his every stroke - until a younger, better artist steals everything (and everyone) Carl loves."
The Second Casualty,2023,War,"Marooned on a war-torn mountain, a jaded photojournalist rediscovers his vocation after he fulfills a promise to the soldier who saved his life and finds a way to confront enemy capture."
Halfway House,2023,"Crime, Drama","Seven troubled adult men struggle to live together in a private halfway house located in a wealthy section of Los Angeles, CA. The large house is owned by a divorced couple, Dr. MARC CASEY, a Doctor of Psychology and therapist and YOLANDA CASEY who is a candidate for the U.S. Senate. The only thing they agree on is sharing the income generated from the house that is paid by the State."
High in the Clouds,2023,"Animation, Adventure, Comedy, Family, Musical",A squirrel embarks on a journey to find an animal sanctuary.
Indiana Jones and the Dial of Destiny,2023,"Action, Adventure, Sci-Fi",Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
Les âmes soeurs,2023,Drama,"A lieutenant from a contingent of the French army stationed in Mali, who is seriously injured when his armoured vehicle explodes."
Little Bastard,2023,"Biography, Drama, Romance",The truth behind James Dean and girlfriend Pier Ange was forced to be cut short under religious views that forced both their relationship and productions aside and tested their love in what truly matters.
SoulHood Saga II: The Finale,2023,"Action, Drama","Picking up from the shocking ending of ""SoulHood Saga Part I: Solstice"", the finale will serve as the epic conclusion to the entire saga. With the main crew facing an extremely agonizing situation, they are met with their toughest challenge yet. Troy and his crew are continuing their dangerous acts against the law. The stakes are higher, the action is bigger, and it's up to Luke, Lee, Rick, DJ and the rest of the team to end the war against Troy for good."
Rainbows,2023,Family,"A stirring story that captures the glory of determination when a physically challenged young girl brings an abused, homeless female jockey, and an abandoned horse together for a ride of a lifetime and much more."
Burning Love,2023,"Action, Comedy, Romance",
The Psychology of Beauty,2023,Drama,"As part of a cabaret show, five cast members and their director play with the idea of normalising the destruction of a construct that determines what we eat, how we breathe and the words we speak."
Red Rain,2023,"Crime, Drama, Thriller","Hong Kong, 1982. Lam Kor-Wan, an unsuccessful loner, constantly, almost obsessively reflects to himself on the ugly corruption of life around him, and becomes increasingly disturbed over his loneliness and alienation. Abused by his father, misunderstood by his mother and constantly looked down on by his younger brother, with no strong friendships or guidance he begins to slip further into the dangerous dark world of fantasy and imagination, where anything is possible. In the discreet and private world of his taxi cab, his mind slowly turns to murder. On February 3rd, 1982 his fantasy would become reality for the first time, when a 21 year old passenger would become the first of four young lives tragically taken by the rainy night butcher. Red Rain is the story of one man's descent into a dark, disturbing and mad fantasy world, the consequences of his actions and the chase to catch him before he kills again."
Untitled Marvel Disney (October 2023),2023,,Felicity Jones and Her Crew Return To Fight A Bosses
Untitled Marvel Disney (June 2023),2023,Action,Slogoman and Mr Beast Racing In Arizona
A Princesa de Rangoon,2023,"Drama, Musical, Mystery, Sci-Fi","Apparitions, mystical presences and lost stories from São Paulo and Rangoon are discovered over the course of a summer, probably, in the future."
Big Sur,2023,Drama,"A mystery unfolds on California's Big Sur Coast, when two old friends are reunited and forced to confront their fates head-on. In the midst of nature, the phantoms of the past abound."
La extorsión,2023,"Crime, Thriller",A commercial airplane pilot is blackmailed by his country's intelligence services to carry mysterious suitcases on his trips to Spain.
You People,2023,"Comedy, Romance","Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
90's Babiez,2023,"Crime, Drama, Thriller","Monroe ""Roe"" Livingston is at a point of no return. While on the brink of his newfound success. A formidable adversary isn't quite willing to allow him to wear the crown. As they hide under pretenses, an enemy disguised as a friend will land him in a world of deceit and divergence, with Monroe (District chess champion), who always keeps his head on a swivel. The ability to see three moves ahead might not just be enough to keep him and the Avondale Gang alive and well. The stakes become very high and risky once Roe's long-term girlfriend and first love, ""Autumn Nixon,"" gets taken and held for ransom. But in the end, the situation becomes very visible and apparent, revealing who's the real threat behind it all."
Texas Grit,2023,Drama,"Adam didn't want to go into the family business. He runs away trying boxing, rodeo riding, and stripping to survive. He's enters Law Enforcement, rising to the ranks of Chief of Police. He never stops making music. 1976-2018"
Tramonto a Nord Ovest,2023,Comedy,"Luca and Margherita, have to face one of the most important tests of their life."
Candlewood,2023,"Horror, Thriller","Inspired by historical events, ""Candlewood"" follows a blended family that moves from New York City to a small, isolated town in Connecticut. Once there, a local urban legend wreaks havoc, fracturing their family dynamic and causing them to go insane."
HangMan's Elm,2023,Horror,
Satyaprem Ki Katha,2023,"Comedy, Drama, Musical, Romance","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway."
Living Hell,2023,Horror,
Wayward Sons,2023,"Drama, Horror","Brothers Robert (Joseph Loeffler-Bell) and Todd (Nick Richards) hike through the Chequamegon-Nicolet National Forest, but they stray so far from the trail that they have no idea how to get back. Initially, they maintain morale by rehashing old stories and reciting inside jokes, but the gravity of their situation sinks in as a return to civilization becomes more unlikely. As the sheer scope, hypnotic pull and spirit-crushing mirages of the forest affect the men, their will to live and sense of identity is challenged and transformed."
A Small Town Christmas,2023,Drama,"Summer O'Neal is an attorney that handles accident cases. She hasn't seen her family for Christmas in years. However, this Christmas, her grandmother is ill . Summer will face her fears and go home to her small town for Christmas."
First Nights,2023,"Comedy, Drama, Romance",A 4-chapter anthology of 7 couples in one broad backdrop - the first night of marriage.
Rocky Aur Rani Ki Prem Kahani,2023,"Comedy, Drama, Family, Romance","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married."
The Fearway,2023,"Horror, Sci-Fi, Thriller",A young couple travelling down the freeway seem to be unable to get off the road after being hunted by someone intent on keeping them on the road.
Not Funny: The Movie,2023,Comedy,A parody of the Star Wars trilogy and other films.
FOG,2023,Drama,A comedy writer experiencing a fallow period goes home for the weekend in the hopes that the complicated relationship she has with her mother will be the spark to her creativity needed to finish a script that is due.
Exodus,2023,Drama,A professional smuggler tries to save a 12-year-old girl whose family has gone missing in the Syrian war.
80 Proof,2023,Crime,A father and son bond over a stick up robbery
Love in Isolation,2023,"Comedy, Romance","Reid a hard working IT Consultant from Seattle has recently relocated to Hong Kong to be with his girlfriend of six months Eve. While serving his mandatory 14 day isolation, Reid is dumped by Eve, meets and falls for the beautiful and mysterious Aubrey and contends with the challenges of finding love in isolation. All while finding out if someone you meet while you weren't really looking can indeed end up being the love of your life."
Hajjan,2023,Drama,Matar has to give everything to fight for Hofira's life in this ageless coming of age drama.
John Burrows,2023,"Action, Thriller","John Burrows is a psychological thriller set in the atmospheric city of Cape Town. The film delves into the dark and twisted mind of John Burrows, a brilliant yet disturbed serial killer who possesses a god complex."
The Final Sunset,2023,Western,
ROSE BOWL: America's Stadium,2023,Documentary,"This documentary will tell personal stories, putting faces to the famed venue, talking with the athletes, the musicians, the fans, the California icons who have frequented the venue and made the history there."
Winnie Pooh Blood and Thunder,2023,"Drama, Horror, Mystery",Some secrets are best left undiscovered .
Untitled Noah Popejoy Isekai Series,2023,,"Young siblings Bob and his sister Bella open a book that brings them to a land of mystical wonder and magic. There, they meet a feisty young princess determined to make a name for herself named Eleanor, and her close friend/crush, Aymon. Together, they learn about a dark foe from billions of years ago named Alistair Malum who is manipulating a common thief named Elkon into freeing him from his light prison."
"Mon chat et moi, la grande aventure de Rroû",2023,"Drama, Family","Follows the journey of Clémence and her kitty, Rroû, as they leave Paris to spend the holidays in the countryside. While there, Rroû enjoys the wildlife and befriends Câline, a white kitten who prowls in the woods."
Love Is Not Enduring,2023,Drama,Clarissa and Tommy blend their companies and fall in love. After the announcement of those engagement Clarissa's old college friends set out for revenge assuring Clarissa never marries. Do Tommy and Clarissa make it down the aisle?
My World,2023,Drama,"Sophie struggles with her mental health as she navigates the dangerous waters of relationships, parties, drugs and managing her relationship with her dysfunctional family."
Witchblossom,2023,Sci-Fi,Witches disrupt plans to build a base on the dark side of the moon.
The Inn Between,2023,Drama,
Fast & Furious: A Fan-Film,2023,"Action, Adventure, Sci-Fi",Plot kept under wraps - - - Fan Film of Fast and Furious.
Vida perra,2023,"Adventure, Comedy",An abandoned dog teams up with other strays to get revenge on his former owner.
Let's Meet Halfway,2023,Romance,"A film by Dana Dveris and Max Schmitz about a long distance couple falling out of love, set in Northern CA. Charlie and Avery meet once a month in a rural town between them in an attempt to preserve their love. Over the course of six trips to meet one another, long-held secrets bubble to the surface and their relationship will never be the same."
The Shatter Man,2023,Horror,Five missing teens now are depending on the Fbi and Henry Molencamp to seek out a serial killer who he's had a past with. Now Henry is trying to find the teens and catch the killer.
Jealousy,2023,"Mystery, Thriller",Several individuals at an apartment complex become entangled in a mystery after a fellow resident is found dead in the complex's swimming pool.
Doctor Bakshi,2023,"Crime, Mystery, Thriller","When a novelist gets trapped in a murder mystery, Doctor Bakshi uses his medical methods to uncover hidden secrets from the past."
Divine Souls: Forever Young,2023,Drama,"Kerri, the head nurse from ""Divine Souls,"" has moved to a new city and is getting ready to start her new job at a nursing home."
Eden II,2023,Sci-Fi,"Space explorers trying to escape with select survivors of a post-apocalyptic Earth discover a 2nd Earth and Garden of Eden and in turn introduce sin, sickness and evil to a perfect world."
Jade Brooks Must Die!,2023,"Action, Drama","Sometimes, destiny is very cruel to every creature. There is a success, and there is a failure. Despite the sweet laughter, there are hidden complex pasts that are difficult to accept but must be upheld, fought for conquered for the sake of others. What is the awaiting fate of the Onna-Bugeisha who's desire is to conquer the gigantic giants who give horror to society and to inserting women who are not as weak as a tiny grain that is easily lost, destroyed by a fierce glaring eye of a monster ravenously hungry for the flesh of a godly virgin? It is a very complex past that has shaped a divine beauty to conquer evil."
Chort,2023,Horror,
Me Quiere No Me Quiere,2023,Comedy,
Tú y Yo en Queens,2023,"Comedy, Romance","Miguel, a conceited jazz musician, is hired to accompany Danira, an inconsiderate Reggaeton singer invited to a festival in Queens. They fight constantly and her recklessness risks leaving Miguel out of work, and wanted by the police."
Fuck Them All!,2023,Biography,Two outlaws discover that they have been played and the only way to survive it is to rise above it all and dance.
Hela bilden,2023,"Comedy, Drama, Sci-Fi","Albert is unwilling to change his old ways of living, in a dystopian future society, therefore he encounters problems on his journey"
The Forbidden Kingdom,2023,Fantasy,
Andra akten,2023,"Drama, Romance","Follows Eva, who is left with time on her hands, but develops a friendship with the great actor Harald Skoog realizing that life is not yet over, in fact, it may have even just begun."
Crystal Lake,2023,Horror,A group of friends vacation at a house that's connected to a dark past.
Holbrook Boys,2023,Comedy,"When four adopted brothers come home after losing their parents, secret obsessions, broken dreams, and hidden agendas come to light, along with multiple orders of fry bread."
En dag kommer allt det här bli ditt,2023,"Comedy, Drama, Music","Successful cartoonist Lisa and her siblings gather at their parents' farm for the first time in over ten years. The parents want only one of them to inherit the forest, which has been in the family's possessions for generations."
Hadik,2023,"Action, Adventure, Biography, History, War",Follows the life of Hungarian nobleman András Hadik.
Gerçek Cinler 2,2023,Horror,"Özge and Nisa come to Istanbul from Izmir to work in a media company. The director at the media company they started to work with is famous for horror movies and after an e-mail, he meets a person named Cafer. Cafer says he has real genie images. He even sends a medallion to the media company to prove that the images in the hard drive are real. Whoever wears this locket is haunted by the Jinn. Unaware of this, Özge and Nisa open the cargo from Cafer and accidentally wear the medallion while watching the footage. Since they do not have a place to stay yet, Özge and Nisa stay at the media company at night after everyone working in the company leaves. But they are no longer alone. Since they put on the medallion, the Jinn have already arrived at their place of residence."
Rudhran,2023,"Action, Drama, Thriller","Rudhran is a happy IT man living with his family until the moment his life is turned upside down. He comes upon a major criminal network including a businessman, Rudhran embarks on a mission to expose him the criminal network."
Ehrengard,2023,"Drama, Romance","In the fairy tale kingdom of Babenhausen, the monarch's search for an heir leads to a scandal and separation within the royal family."
"Generation Ecstasy: Club Lavela, Atlanta's Southside Boys, and the Feds",2023,,"The true tale of Ronnie Loggins, one of the biggest ecstasy importers in American History and the leader of Atlanta's Southside Boys. With over ten years in the Southeast and Ronnie and his crew ran their operation from Club LaVela in Panama City, Florida."
Kos,2023,"Drama, History","Movie begins in the spring of 1794. General Tadeusz 'Kos' Kosciuszko (Jacek Braciak) returns to Poland, who plans to start an uprising against the Russians, mobilizing the Polish nobility and peasants to do so. He is accompanied by a faithful friend and former slave, Domingo (Jason Mitchell). a ruthless Russian captain, Dunin (Robert Wieckiewicz), who wants to capture the general at all costs before he causes a national rebellion. At the same time, a young peasant, Ignac (Bartosz Bielenia), a noble bastard, dreams of being given his coat of arms and property by his illegitimate parent, Duchnowski (Andrzej Seweryn), who includes him in his will just before his death. When the father dies, the boy has to run away from his half-brother, Stanislaw (Piotr Pacek), who does not want to let his father's will be realized. Ignac steals a will and has only two days to appear in court with him and prove his knighthood. During the escape, Ignac meets Domingo on his way, and a strong bond of understanding is formed between the men, even though they both do not know each other's language. Together, they go to the Colonel's Wife manor (Agnieszka Grochowska), where Kosciuszko is hiding, waiting for negotiations with the magnates. Kos is distrustful of Ignac and keeps him under arrest, but at the decisive moment it is in the hands of an inconspicuous noble bastard who will lay the fate of the uprising. When the moment of trial comes, Ignac will have to choose - whether to continue following his coat of arms dream and his father's legacy, or to join Kosciuszko's ""Kos"" and fight with him for the highest stakes."
Ill Intent,2023,Drama,Terrance and Tracey Davis are getting ready to have their first child. They both want to have a in home birth with a Doula. Tracey doesn't know her trust will be betrayed and she will be living a nightmare.
