title,year,plot,genre
Winnie Pooh Blood and Thunder,2023,Some secrets are best left undiscovered .,Drama
"Mon chat et moi, la grande aventure de Rroû",2023,"Follows the journey of Clémence and her kitty, Rroû, as they leave Paris to spend the holidays in the countryside. While there, Rroû enjoys the wildlife and befriends Câline, a white kitten who prowls in the woods.",Drama
Love Is Not Enduring,2023,Clarissa and Tommy blend their companies and fall in love. After the announcement of those engagement Clarissa's old college friends set out for revenge assuring Clarissa never marries. Do Tommy and Clarissa make it down the aisle?,Drama
My World,2023,"Sophie struggles with her mental health as she navigates the dangerous waters of relationships, parties, drugs and managing her relationship with her dysfunctional family.",Drama
Witchblossom,2023,Witches disrupt plans to build a base on the dark side of the moon.,Sci-Fi
Vida perra,2023,An abandoned dog teams up with other strays to get revenge on his former owner.,Adventure
Let's Meet Halfway,2023,"A film by Dana Dveris and Max Schmitz about a long distance couple falling out of love, set in Northern CA. Charlie and Avery meet once a month in a rural town between them in an attempt to preserve their love. Over the course of six trips to meet one another, long-held secrets bubble to the surface and their relationship will never be the same.",Romance
The Shatter Man,2023,Five missing teens now are depending on the Fbi and Henry Molencamp to seek out a serial killer who he's had a past with. Now Henry is trying to find the teens and catch the killer.,Horror
Jealousy,2023,Several individuals at an apartment complex become entangled in a mystery after a fellow resident is found dead in the complex's swimming pool.,Mystery
Doctor Bakshi,2023,"When a novelist gets trapped in a murder mystery, Doctor Bakshi uses his medical methods to uncover hidden secrets from the past.",Crime
Divine Souls: Forever Young,2023,"Kerri, the head nurse from ""Divine Souls,"" has moved to a new city and is getting ready to start her new job at a nursing home.",Drama
Eden II,2023,"Space explorers trying to escape with select survivors of a post-apocalyptic Earth discover a 2nd Earth and Garden of Eden and in turn introduce sin, sickness and evil to a perfect world.",Sci-Fi
Jade Brooks Must Die!,2023,"Sometimes, destiny is very cruel to every creature. There is a success, and there is a failure. Despite the sweet laughter, there are hidden complex pasts that are difficult to accept but must be upheld, fought for conquered for the sake of others. What is the awaiting fate of the Onna-Bugeisha who's desire is to conquer the gigantic giants who give horror to society and to inserting women who are not as weak as a tiny grain that is easily lost, destroyed by a fierce glaring eye of a monster ravenously hungry for the flesh of a godly virgin? It is a very complex past that has shaped a divine beauty to conquer evil.",Action
Tú y Yo en Queens,2023,"Miguel, a conceited jazz musician, is hired to accompany Danira, an inconsiderate Reggaeton singer invited to a festival in Queens. They fight constantly and her recklessness risks leaving Miguel out of work, and wanted by the police.",Comedy
Fuck Them All!,2023,Two outlaws discover that they have been played and the only way to survive it is to rise above it all and dance.,Biography
Hela bilden,2023,"Albert is unwilling to change his old ways of living, in a dystopian future society, therefore he encounters problems on his journey",Comedy
Andra akten,2023,"Follows Eva, who is left with time on her hands, but develops a friendship with the great actor Harald Skoog realizing that life is not yet over, in fact, it may have even just begun.",Drama
Crystal Lake,2023,A group of friends vacation at a house that's connected to a dark past.,Horror
Holbrook Boys,2023,"When four adopted brothers come home after losing their parents, secret obsessions, broken dreams, and hidden agendas come to light, along with multiple orders of fry bread.",Comedy
En dag kommer allt det här bli ditt,2023,"Successful cartoonist Lisa and her siblings gather at their parents' farm for the first time in over ten years. The parents want only one of them to inherit the forest, which has been in the family's possessions for generations.",Comedy
Hadik,2023,Follows the life of Hungarian nobleman András Hadik.,Action
Gerçek Cinler 2,2023,"Özge and Nisa come to Istanbul from Izmir to work in a media company. The director at the media company they started to work with is famous for horror movies and after an e-mail, he meets a person named Cafer. Cafer says he has real genie images. He even sends a medallion to the media company to prove that the images in the hard drive are real. Whoever wears this locket is haunted by the Jinn. Unaware of this, Özge and Nisa open the cargo from Cafer and accidentally wear the medallion while watching the footage. Since they do not have a place to stay yet, Özge and Nisa stay at the media company at night after everyone working in the company leaves. But they are no longer alone. Since they put on the medallion, the Jinn have already arrived at their place of residence.",Horror
Rudhran,2023,"Rudhran is a happy IT man living with his family until the moment his life is turned upside down. He comes upon a major criminal network including a businessman, Rudhran embarks on a mission to expose him the criminal network.",Action
Ehrengard,2023,"In the fairy tale kingdom of Babenhausen, the monarch's search for an heir leads to a scandal and separation within the royal family.",Drama
Kos,2023,"Movie begins in the spring of 1794. General Tadeusz 'Kos' Kosciuszko (Jacek Braciak) returns to Poland, who plans to start an uprising against the Russians, mobilizing the Polish nobility and peasants to do so. He is accompanied by a faithful friend and former slave, Domingo (Jason Mitchell). a ruthless Russian captain, Dunin (Robert Wieckiewicz), who wants to capture the general at all costs before he causes a national rebellion. At the same time, a young peasant, Ignac (Bartosz Bielenia), a noble bastard, dreams of being given his coat of arms and property by his illegitimate parent, Duchnowski (Andrzej Seweryn), who includes him in his will just before his death. When the father dies, the boy has to run away from his half-brother, Stanislaw (Piotr Pacek), who does not want to let his father's will be realized. Ignac steals a will and has only two days to appear in court with him and prove his knighthood. During the escape, Ignac meets Domingo on his way, and a strong bond of understanding is formed between the men, even though they both do not know each other's language. Together, they go to the Colonel's Wife manor (Agnieszka Grochowska), where Kosciuszko is hiding, waiting for negotiations with the magnates. Kos is distrustful of Ignac and keeps him under arrest, but at the decisive moment it is in the hands of an inconspicuous noble bastard who will lay the fate of the uprising. When the moment of trial comes, Ignac will have to choose - whether to continue following his coat of arms dream and his father's legacy, or to join Kosciuszko's ""Kos"" and fight with him for the highest stakes.",Drama
Ill Intent,2023,Terrance and Tracey Davis are getting ready to have their first child. They both want to have a in home birth with a Doula. Tracey doesn't know her trust will be betrayed and she will be living a nightmare.,Drama
Let the Party Begin,2023,"""Let the party begin"" is the story of the country's greatest film producer whose film wins at the Cannes Film festival. However, after two years of struggling through the corona virus crisis, difficulties with investors wanting their money back, films not distributed and a difficult divorce settlement, Jonathan must sell his company with all its assets. Unaware of the situation his new wife decides to throw him a surprise party to celebrate his win at Cannes, inviting all the heads of the local film industry, colleagues and family. When Jonathan finds out about it he decides to wire the whole house with cameras. Who among us wouldn't want to be a fly on the wall at his own party, to listen in to his guests conversations and to really hear what people think about him before his collapse. Jonathan watches the party and all that goes on through the monitors while at the same time liaising with his lawyer to save his business. Will he succeed?",Drama
Gaza,2023,"Framed for the murder of her husband, Bobo is wrongly sentenced to seven years in prison. Upon release, Bobo is forced into a life of crime. She struggles to escape the clutches of the Gaza slum while her crime spree escalates to a deadly end for her friends and enemies alike.",Crime
Oppenheimer,2023,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",Biography
Den første julen i Skomakergata,2023,"It's just before Christmas, and Stine (11) arrives Cobbler street all by herself. There she seek shelter at Shoemaker Andersens place, a grumpy old man who just wants to be left alone. Their meeting changes everything for the both of them.",Family
Historias de Hotel,2023,Two brothers receive an old hotel as an inheritance from their aunt and live all kinds of bizarre experiences while working in it.,Comedy
Woods Witch,2023,"When two up and coming internet bloggers take on a road trip to film footage from a forest that is known for disappearance and death, they find themselves in a fight against the supernatural for more than ratings. The events to follow considerably deteriorate, spiraling the adventure seekers head on into magic, mayhem, and murder.",Comedy
Nigah Marda Ayi Ve,2023,An adventurous road trip takes Harman and Scarlett on a journey not only through love and life but also leaves them heartbroken. Will the star-crossed lovers ever meet?,Drama
Ride On,2023,A washed-up stuntman and his stunt horse become an overnight social media sensation when their real-life fight with debt collectors goes viral.,Action
The 3rd Channel,2023,"Jessica Kelly, 24, is a recent mechanical engineering graduate working a dead end job until a mysteriously charming businessman shows up at her work telling her about a very odd inheritance. Conflicted when her own investigation leads her back to her family's history, her life is about to change forever.",Horror
Bravado,2023,"A comedy-drama about a middle-aged creative writing instructor struggling with the recent suicide of one of his students, a divorce, a strangely unfolding Eco-anxiety (Solastalgia) and his evolving relationship to the shifting attitudes of society.",Drama
The Blood Priestess,2023,Three friends travel to a secluded ashram in Mexico to help one of them overcome a recent trauma. What begins as an idyllic retreat quickly devolves into a series of bizarre meditations and rituals that seem to hide a sinister purpose.,Horror
White Blood,2023,"Amidst her ongoing struggle with cancer, Betty and her partner Mark embark on a final journey with the intent of carrying out a suicide pact. Initially united by love, impending doom strains their bond, turning them against each other.",Thriller
Stronghold,2023,"In a post-apocalyptic world, a young woman living in the woods with her mother starts to question everything after the arrival of a stranger.",Thriller
Spider-Man: Bad Reputation,2023,"After Uncle Ben's death, Peter will have to face something worse, Chameleon's revenge.",Animation
True Love Inc,2023,A drama with sci-fi undertones set in modern-day Australia. A dating app manages your relationship for you. All you need to do is show up and follow the instructions,Sci-Fi
Storm,2023,Follow the story of the people who were expelled from Krajina in 1995 and the suffering of the Serb people in Croatia.,Drama
Death Tale,2023,"Myra whose playboy husband Dhruv, gets murdered. Myra has to deal with the cop as she is a suspect.",Mystery
Como Dios manda,2023,"A strict, order-obsessed tax official has an unfortunate confrontation with a co-worker and is transferred to the Ministry of Equality.",Comedy
Die drei ??? - Erbe des Drachen,2023,"Follows a famous detective trio of boys in Transylvania who must unravel mysteries involving a long-missing boy, a mysterious brotherhood and a mysterious undead.",Adventure
Tedor Anomaly,2023,"The crew of an intergalactic transporter, leading to the distant exoplanet Tedor, beyond Andromeda, carrying a mysterious cargo for a research station on an orbiting asteroid, discovers an ancient massive alien structure of unknown origins. The station seems abandoned. Determined to deliver the load and see what happened to the station's crew they soon realize to be trapped in a terrible nightmare.",Sci-Fi
¡Vaya vacaciones!,2023,"It tells the story of Manuela and José. Even though they are delighted with taking care of their grandchildren, they are a bit fed up with no longer having time to dedicate to themselves.",Comedy
Ovuda ce proci put,2023,An unexpected visit radically changes the life of a small isolated place in Serbia. Jana (18) will do everything to save the stranger that she thinks will take her far from there.,Drama
The Plough,2023,"Three siblings, a father and a grandmother who run a travelling puppet show. When the father dies during a performance, the remaining family members try to keep his legacy alive.",Drama
Zomer in Frankrijk,2023,Two friended couples go on holiday together in France when their relationships take a unexpected turn.,Comedy
Zindagi Shatranj Hai,2023,A men whose wife not ready to accept him has a husband despite of the fact that everyone else was telling that he is her husband.,Thriller
Non ti fermare mai,2023,Gianfranco recognizes Life is filled with contradiction.But it's only on the brink... that people find the will to change. Now the child has grown up and exercised his political commitment as an postulate: he applied in public life the principles of his private religious practice.,Biography
Fists of Justice,2023,"Fists of Justice is a story about justice, but only in a sense. It's a story of justice masked by revenge.",Drama
Sobreviviendo Mis XV,2023,Turning 15 is magical except when your family wants to put you in a ridiculous dress and make you dance the waltz in front of everyone. Danae will have to organize a traditional yet cool quinceañera that also pleases her grandmother.,Comedy
Big Fun,2023,"While sneaking into a swanky Los Angeles home, a young woman and her boyfriend are coerced into hanging out with the strange homeowner.",Comedy
The Obstacle,2023,"An executive's lust for money drives his wife into the arms of another man and causes his life to spiral into a cycle of drugs, sex, and violence. When given a second chance, will his traumatic past resurface to destroy lives?",Action
Return of the Dark,2023,The wizards try to defeat enemies from another world.,Action
Knock at the Cabin,2023,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse.",Horror
Remnant,2023,"A tragic accident, a fractured mind, a body healed by an experimental technology. A young woman becomes supernaturally linked to the horrors of her past. Haunted, hunted, harrowed, she must uncover the truth in order to be free.",Horror
Eternal Theater,2023,"""Eternal Theater"" is a thought provoking documentary examining the Christian teaching on the afterlife.",Documentary
Dreams of Darkness,2023,"Devastated by the disappearance of his wife, Derek Fabry enters a nightmarish world of the occult, erotic evil, and supernatural seduction as he tries to unravel the mystery of her vanishing.",Horror
Dungeons & Dragons: Ehre unter Dieben,2023,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people.",Action
Konstantin & Miss Divine,2023,A lonely Elvis impersonator finds friendship in a mysterious character who resembles his dead wife.,Fantasy
Intentions,2023,"Jade Gooding is a career driven over-achiever on the fast track of success. She is just as aggressive and power hungry for a VP title as her male counterparts. But this over thirty and single Marketing Director longs for love and affection from a man her equal. Having endured a number of meaningless dates and advances from co-workers that just don't measure up, Jade's world is about to be turned upside down when she catches the eye of the new mail room supervisor. As she deals with the pressures of her job and trying to maintain her composure from sexual advances, the intelligent executive is about to learn two lessons: Don't judge a book by it's cover and keep your enemies extremely close.",Drama
The Last Deal,2023,A black market marijuana dealer tries to make one final score before getting squeezed out of the business when cannabis becomes legal.,Action
129,2023,"In 2063 a soldier named 129 escapes from Merdocorp. The company is chasing him. They have serious technological developments: cloned organs, robots, flying cars. The soldier does not remember anything, but he wants to know his past.",Action
The Devil's Hammer,2023,"On the run from a vengeful sheriff, a biker gang finds themselves trapped in a desolate mining town run by a disease-riddled cult of demon worshipers.",Horror
Plymouth,2023,Plot is undisclosed at this time.,Drama
A Little White Lie,2023,"When a handyman living in New York City is mistaken for a famous and famously reclusive writer, he's brought to a university where he is to deliver a keynote address to save the school's literary festival.",Comedy
Out for Vengeance,2023,"Stuck between European drug cartels Alan Barnas, an ex-veteran, decides to take matters into his own hands when the police fail to solve a murder.",Action
After the Thunderstorm,2023,"After a massive war between humans and machines,a small group of humans fight for survival.",Sci-Fi
Penance,2023,A methodical serial killer known as The Inferno Killer terrorizes the beautiful city of San Diego by murdering his victims according to the punishments within the 9 Circles of Hell.,Crime
Cvrcak i mravica,2023,"Here is a new take on the famous fairy tale first told by Aesop and then Jean de la Fontaine. Ket, a guitar playing cricket, leads a band to entertain the carefree bugs. Nearby lives Antoinette, heiress of the anthill where music is forbidden and only discipline and hard work are allowed. By accident they meet and an affection grows between them. The ant girl tries to warn the crickets of the upcoming winter, to no avail. When Antheodor, an over-ambitious ant, kidnaps Antoinette, it's Ket and his friends who come to her rescue.",Animation
There Is No Sanctuary,2023,"After a military extraction team fails to rescue its target in a zombie-like quarantine zone, the lone surviving member makes his way back to civilization and struggles with severe post-traumatic stress disorder and survivor's remorse.",Horror
King Saud,2023,King Saud is a Hollywood murder mystery about high end prostitution and the roots of Middle East terrorism. Two LA detectives investigate the murder of a Saudi prince under suspicious circumstances.,Mystery
Arisen Redemption,2023,The third and final chapter in the ARiSEN trilogy. A young woman finds her grandmother's amulet and starts to see horrible visions involving her grandmother when she was younger.,Horror
Transformers: Rise of the Beasts,2023,"During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.",Action
La Pura Vida,2023,Nana has to deal with the overbearing family of her boyfriend and overall abuse.,Comedy
Famous,2023,"A suspected suicide turns mysterious when the victim, the worlds most famous singer, returns to do one final concert...Live.",Horror
Someone Dies Tonight,2023,"A group of friends sets out on a holiday road trip to Greece. On their way south, they are intercepted by a group of Croatian gangsters. Locked in a remote house, they find themselves struggling for their lives.",Thriller
Taeter Burger,2023,"Year 2161: one android and three employees of a human-meat fast food chain, must fight an army of terrorist created mutants",Action
Star Wars: Fate of the Force,2023,The story is set in the Star Wars universe created by George Lucas. The film depicts the Jade family. This is a fan film and it is one of the few that will be feature length.,Sci-Fi
A Little Resistance,2023,"In a corner of the world rarely mentioned, Princess Sophia is the sole heir to the kingdom of Preanna. After the death of her mother she seeks freedom from her father, an insidious King driven mad by grief. A war brews in the neighboring nation of Nantio as violent revolutionaries stand against Preanna and the royal guard. Sophia endeavors to break the chain of tyranny rooted in her home country and her fathers dictatorship.",Drama
The Little Mermaid,2023,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,Adventure
Mascotte,2023,A family's stability is shaken by the teenage son's drift towards extremism,Drama
The Hard Time Zoo,2023,"A meteorite strike alters the intelligence of all the earth's land-bound animals giving them the ability to THINK and SPEAK as humans. World governments react by forcing the animals into a special facility that the PUBLIC believes to be are animal detainment centers called ""ZOOs"".",Animation
Wonka,2023,"Based on the extraordinary character at the center of Charlie and the Chocolate Factory, ""Wonka"" tells the wondrous story of how the world's greatest inventor, magician and chocolate-maker became the beloved Willy Wonka we know today.",Adventure
Wormwood: A German Expressionistic Dystopia,2023,"A language driven dark comedy about a young man who is plucked from obscurity by the motion picture industry, and the trials and tribulations therein.",Comedy
Migration,2023,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,Animation
"Gone, Gone, Jack!",2023,Emotionally unstable writer deals with false expectations of reality.,Drama
The Super Mario Bros. Movie,2023,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess.",Animation
Jeff the Policeman Movie,2023,Jeffrey Walkman must face his last adventure on an exciting journey in America as he tries to regain his memories. It won't be easy; all of Jeff's enemies have come back to put him and his friends in danger. Will Jeff manage to survive?,Adventure
Mercy & Compassion,2023,"Mercy is often used in a religious context of giving alms, caring for the sick or the poor. The word Compassion a strong feeling of sympathy and sadness for the suffering or bad luck of others and a wish to help them",Action
Reptchild,2023,"When a grisly murder spree in the town of Henenlotter, N.C. is discovered to have been perpetrated by a mutated half-reptile/half-human child, the creature is soon hunted by a nefarious scientist, two local cops, and a good-natured pair of horror-loving townie brothers. As the bodies pile up, the brothers and their precocious niece must attempt to befriend the tiny beast in order to save the town, their reputations, and the ravenous, rambunctious Reptchild.",Horror
Aquaman a ztracené království,2023,"Aquaman balances his duties as king and as a member of the Justice League, all while planning a wedding. Black Manta is on the hunt for Atlantean tech to help rebuild his armor. Orm plots to escape his Atlantean prison.",Action
His Name is Jeremiah,2023,"Struggling to adjust when her mother is released from prison, a lonely teen girl with a dangerous gift find solace helping a dead boy solve his own murder.",Mystery
L'Absente,2023,"""I remembered - It was some place else. But you were standing next to me...""",Fantasy
The Strays,2023,A woman's meticulously-crafted life of privilege unravels when two strangers show up in her quaint suburban town.,Drama
JFK Jr.,2023,The story of John F Kennedy Jr. and his life from 1968 until his tragic death in 1999.,Biography
The Terror of Bigfoot,2023,A hunter tells a terrifying story of encountering Bigfoot in the backwoods of Vermont.,Adventure
Statica,2023,Detective Gore Stoecker embarks on a missing persons case and encounters bits of enlightenment as he gets closer to his goals.,Action
Brooklyn 45,2023,"Five military veterans, best friends since childhood, gather together to support their troubled host, and the metaphoric ghosts of their past become all-too-literal.",Drama
The Mother,2023,"While fleeing from dangerous assailants, an assassin comes out of hiding to protect the daughter she left earlier in life.",Action
Heavy Duty Man,2023,"HD Mack is an overweight, but sweet guy who just can't catch a break. Bullied by gangs and gym rats led by the evil Mr. Gant, HD Mack at his low point. That is until he drinks an adreno-serum and becomes ""Heavy Duty Man"", a heavy weight hero for all of us.",Action
Yaneura no Raja,2023,An imaginary friend must return to his creator before he is forgotten or captured by an evil man who can see imaginary friends.,Animation
Assassin Club,2023,An assassin is given a contract to kill seven people around the world only to discover the targets are also assassins who have been hired to kill him.,Action
End of Loyalty,2023,"When the head of the crime family is killed by a rival family, his son Grant vows to get retribution. As his grief turns into violence, his best friend Ray, a federal agent, does everything he can to keep Grant from going off the deep end.",Action
The Old Way,2023,"An old gunslinger and his daughter must face the consequences of his past, when the son of a man he murdered years ago arrives to take his revenge.",Action
Blue Beetle,2023,"An alien scarab chooses Jaime Reyes to be its symbiotic host, bestowing the recent college graduate with a suit of armor that's capable of extraordinary powers, forever changing his destiny as he becomes the superhero known as Blue Beetle.",Action
Lost Weekend,2023,"His marriage and band falling apart, John Lennon recruits comedian Albert Brooks and musician Harry Nilsson for a raucous 24-hour journey through 1973 Los Angeles to try to save a lost album and himself.",Comedy
Old Man Jackson,2023,"Mr. Jackson, an award winning automotive mechanics shop owner, and high strung hypochondriac, has a premonition. With no children of his own to pass the legacy that his grandfather started, he has one last mission to accomplish.",Comedy
Cuando acecha la maldad,2023,"In a remote village, two brothers find a demon-infected man just about to ""give birth"" to evil itself. They decide to get rid of the body, only to end up unintentionally spreading chaos.",Horror
Romance in Lacuna,2023,"Story wants to tell something, wants to explain something, wants to sing a historic song.It has been a long time that a god has appeared on earth. What if these flags do not exist, if all these songs do not remain separate? Why can't we have a monotony in flags and songs for the people living in this world. What if we never explain anyone about boundaries and wars? Maximum trades in this world are done for arms and ammunitions. We started the journey of making weapons with stone and today we have reached upto nuclear weapons. What is this world is unaware about the term weapon ? We envision one such place called LACUNA. A place where the feet are very peaceful with no boundaries. One day suddenly a corpse comes floating in lacuna. This changed the complete story. Samved being an ex army man has ran away from the army field ages ago. Concept of the film concludes on the wisdom of Samved. But this film displays many conspiracies and negative parts of the society. The people of lacuna was satisfied with the the drastic changes brought for them by the thoughts and ideologies of samved. But somewhere was much worried about the future. Thus romance in lacuna is a film which tries to convey that peace is the most powerful weapon. A film hoping love.",Biography
War Against Gandhism,2023,"This is the first film ever, which portrays the stream of positive and negative consequences on India caused by the practice of Gandhism since the period when Gandhi was introduced, leading to the day of independence from British rule and from the day of independence to present.",Drama
Black Lotus,2023,An ex-special forces operative wages a one man war through the streets of Amsterdam to rescue his friend's daughter from the local crime syndicate.,Action
Cheburashka,2023,"What if Cheburashka really exists? What if he is not a plush toy, but quite a real furry animal that lives in an orange grove in a distant country?",Comedy
Drain Away: Is Pure Longing a Sin?,2023,A young woman Kaname is possessed by a ghost of a Japanese samurai Saki whose goal is to make history repeat itself in the death of those she loves.,Action
Twice Above the Atlantic,2023,"Six years in the making, Twice Above the Atlantic is a coming-of-age documentary celebrating the spirit of youth, challenges of travel, and pursuit of the great American road trip.",Documentary
Wochenendrebellen,2023,"Mirco's family is advised to go to a special school for Jason, his autistic son. He makes a pact to make every effort to stay in school if Mirco helps him find a favorite football club.",Comedy
Skvoz vremya,2023,A young eccentric inventor and businessman with a team of scientists finds himself in a mysterious anomalous zone where time is broken. Now they need to unlock the secrets of the past to save the future.,Adventure
Butterfly Tears,2023,An abandoned young child from South Korea is adopted from an orphanage by an American Family and endures a very traumatic and Abusive childhood. A true story.,Drama
Gridman Universe,2023,"Follows Yuta who repeatedly drew and then erased Gridman in his notebook, which he vaguely remembers. Then he decided to confess his feelings to Rikka, and their life in such a peaceful world begins to crumble with a roar.",Animation
House Party,2023,"From New Line Cinema comes your VIP ticket into the hottest event of the year:""House Party,"" the remix to the fan-favorite '90s classic.",Comedy
La patrulla canina: La superpelícula,2023,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups",Animation
The Trip,2023,"Four childhood friends, now in their 30s, take a weekend trip to a rural farmhouse in Pennsylvania. Expecting a relaxing weekend of excess, the group soon comes to find out the house has something else planned. It was fun... until it wasn't.",Horror
Heartbreak Falls,2023,A mob ensemble centered around a high profile business deal.,Crime
Dybbuk,2023,23-year-old synagogue librarian Evelyn journeys between two worlds,Drama
Guardians of the Galaxy Vol. 3,2023,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful.",Action
14+: Prodolzhenie,2023,"The story of the growing up of Lyosha, who turned 18 years old. Life asks him more and more difficult questions about love, family, duty and his path than it did at 14. And he, just as then, must answer them himself.",Drama
Target Number One,2023,"In order to strengthen his connections on the street, a young man has to participate in a violent robbery. But, after surviving the war between street gangs, he becomes the main target of law enforcement and a ruthless mobster.",Action
Skimbagirls,2023,Four friends who have visited different ski resorts call themselves Ski Girls who are reunited for Emma's wedding. Their friendship will be tested as the other Ski Girls decide to stop Emma from making another mistake by getting married.,Comedy
Ishq Ki Baazi,2023,"This love story begins with Reyansh who is a very innocent and shy boy. He was struggling his life to achieve success and help his family. Suddenly a Daughter of a Businessman, named Shruti came into her life.",Romance
Passages,2023,A gay couple's marriage is thrown into crisis when one of them impulsively begins a passionate affair with a young woman.,Drama
Terminator 7: Algorithm,2023,The year is 2029 and the Resistance are at war. There's a secret weapon that only one person knows and he must find help to stop the war for good.,Sci-Fi
115 Grains,2023,A police officer suffering from PTSD and the calls throughout his career that have impacted him.,Drama
Panchayiti,2023,"A village drama set in the deep rural space of Telengana, with gritty looks, stellar performances and great imagery.",Drama
Hide & Seek,2023,Story revolves around a man named Omm and how one morning suddenly he starts facing uncertain circumstances unable to recall the previous night incidents he is left in a dilemma.,Crime
Jedna dusza,2023,"It is 1990 when Alojz is born. Years pass. An adult man is a tough miner, charismatic and listened to by his colleagues. However, his penchant for alcohol and violence causes his loved ones - his wife and young sons - to suffer every day. During a mine disaster, Alojz unhesitatingly saves the life of his friend, whom he had previously been mercilessly harassing. The accident will be a breakthrough for the entire family that will irrevocably change their lives. Paradoxically, however, despite the tragic consequences, it will also bring a glimmer of hope.",Drama
Nelayan,2023,"A young African man challenges the leaders of Malaysia's biggest drugs and human trafficking syndicates, in a mission to clear his name and to free the love of his life.",Action
Videoteka,2023,"Running from police, a small time thief finds a refuge in an abandoned video store. Forced to spend night there he decide to watch three horror films.",Fantasy
Az almafa virága,2023,"Song Ha, a young Vietnamese woman arrives in Budapest with a distinctive goal: she wants to discover her roots. While she investigates the past, a romantic relationship blossoms between her and Viktor, a Hungarian man.",Romance
Tu Jhoothi Main Makkaar,2023,"Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits.",Comedy
Bull,2023,Inspired by the real-life events of Brigadier Bulsara of Indian Army.,Action
Son of the Dawn,2023,A family in rural Pennsylvania descend into madness as they are torn apart by supernatural events which have been influencing their ancestral bloodline since the dawn of time.,Horror
Bajo terapia,2023,Three couples are summoned by their psychologist for group therapy which pushes them to wash increasingly dirty linen in public.,Comedy
The Blind,2023,"Long before Phil Robertson was a reality-TV star, he fell in love and started a family, but his demons threatened to tear their lives apart. This is the true story that started a dynasty.",Drama
Downwind,2023,"Hiroshima. Nagasaki. Mercury, Nevada? The latter was the site for the testing of 928 large-scale nuclear weapons from 1951 to 1992. Martin Sheen narrates this harrowing exposé of the United States' disregard for everyone living downwind.",Documentary
Talk to the Gun: Momentum,2023,"After finding out his brothers death, Dante' Hicks is out for revenge. So he hires multiple hitmen to kill Bryce Turner to pay for his actions.",Action
The Lost Boys,2023,"In a juvenile reform center, a place governed by the prohibition of physical contact, Joe and William fall in love. To love each other, they will have to break the law.",Drama
The Next Town I'm Painting,2023,An aspiring dancer and amateur writer struggles against her rising anxiety as she looks to start her life over again.,Drama
Lanier,2023,A detective is forced to come to a realization of the dark truths hidden at the bottom of Lake Lanier.,Thriller
Stay Awake,2023,An actress' sleepwalking episodes turn violent.,Thriller
The Cult,2023,"When a young woman relocates to a small town in Europe, she notices the place has something weird. As time goes by, she starts to fear for her life. Based on actual events and in the book the day she became plastic.",Horror
Silvery Dying,2023,"When Zoe and Ian invite a young traveler to stay at their home for a few days, little did they know that he would be one of the most terrifying guests ever.",Thriller
Savage 7,2023,7 Super Heroes arrive in LA to fight crime.,Sci-Fi
Burglar from Hell Part 2,2023,The Burglar from Hell is back after 30 years to return and kill all who try to stop him.,Horror
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.,Animation
Valóság.exe,2023,A middle aged man called Dávid downloads an unknown software one day what can be used to rewrite reality and fate.,Drama
Blue Giant,2023,"Dai Miyamoto, a student from Sendai, receives a saxophone as a gift from his brother, Masayuki. He starts practicing immediately.",Animation
38 Minutes,2023,"Inspired by an actual event. This is the story of the Hawaii False Missile Alert which occurred on January 13, 2018.",Action
Spider-Man: Across the Spider-Verse,2023,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",Animation
Mission: Impossible - Dead Reckoning Part One,2023,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,Action
Living with You,2023,"A coming of age dramedy about two sets of siblings - two estranged sisters moving back in with their mother after college; two brothers living together while attending college - learning to live with each other, and with themselves.",Comedy
Elemental,2023,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together.",Animation
Hidden Strike,2023,"Two ex-special forces soldiers must escort a group of civilians along Baghdad's ""Highway of Death"" to the safety of the Green Zone.",Action
Topannah,2023,A Native American teenage girl seeks revenge against a ruthless reservation leader and a corrupt police lieutenant for the senseless killing of her mother.,Action
Free State,2023,Two brothers are torn apart after they steal a bag of money and are hunted down by a ruthless killer.,Action
